,Value
0,-119.05184485565124
1,-119.53471534673861
2,-163.48999191312507
3,-123.64087767396741
4,-130.75647891246967
5,-151.35321970461553
6,-135.06549671078787
7,-131.14101921274874
8,-129.54568808926052
9,-134.81242376729563
10,-90.73094879235796
11,-86.0340272716267
12,-132.98165928321635
13,-152.77860529720923
14,-127.39132690317288
15,-119.92596875976093
16,-148.43514523157893
17,-117.39589292599514
18,-107.9761376001421
19,-90.55956751467264
20,-122.51618443017306
21,-122.3295882401239
22,-147.01409495395473
23,-128.30452380704816
24,-141.16356931603815
25,-136.5293382726366
26,-126.83576146625327
27,-111.27631505925785
28,-114.47949362941738
29,-119.35556494815725
30,-110.78337582592735
31,-99.3749932772509
32,-115.80135573130124
33,-150.30302055345464
34,-139.42639421409604
35,-94.33279784012849
36,-146.22176867343657
37,-125.82943755611362
38,-89.81007041247041
39,-138.54487901935823
40,-93.02944026674938
41,-99.98964596795265
42,-118.40812416104984
43,-102.32327446773489
44,-112.0930640992348
45,-145.4790739975305
46,-129.44886672086807
47,-110.73032491815609
48,-128.24459471110063
49,-102.11853796870402
50,-116.46896984701027
51,-119.06812246076444
52,-105.54349089384463
53,-116.69438297169047
54,-137.55086712776023
55,-78.01038684674337
56,-105.71686734412276
57,-138.33151580216725
58,-145.59245496484763
59,-121.13788295599413
60,-98.7596472759694
61,-104.23450957021562
62,-105.46178940341345
63,-121.96566334235006
64,-87.7299348433917
65,-117.8448280860571
66,-102.82660427241694
67,-94.92780207197805
68,-128.80759300054166
69,-83.70895041465654
70,-122.01719943303928
71,-123.45375220872063
72,-119.81753639440869
73,-109.23092829790362
74,-118.13831041834626
75,-153.98031013461306
76,-104.91203302231047
77,-101.67544932168849
78,-102.5687315885252
79,-117.24476034217518
80,-104.45189486971283
81,-160.71741225285064
82,-126.43438776293344
83,-96.43128399311739
84,-95.04339954503324
85,-100.27812178980165
86,-162.06313770484695
87,-132.98959712550487
88,-97.69972960030567
89,-85.27456252254487
90,-91.6835520228718
91,-107.75721954029727
92,-104.05055538851813
93,-98.79139703441739
94,-106.38591045696312
95,-125.79641347662752
96,-89.47681424884144
97,-115.1050237634337
98,-106.53158058297197
99,-123.00408335577322
100,-86.53033863660164
101,-116.69228497469476
102,-66.10482867215941
103,-123.4633189169954
104,-115.32221213319625
105,-148.04182522460724
106,-106.76631687666352
107,-106.1669078395101
108,-113.24433929607169
109,-125.8244012884879
110,-101.6248794909868
111,-112.86782531914957
112,-114.11168080846942
113,-125.15381323528761
114,-105.21862169972981
115,-125.06839069682196
116,-128.0612041842572
117,-118.63258119023601
118,-123.76556221427734
119,-114.44842660138849
120,-97.19674142375251
121,-105.93674943632364
122,-99.14228489942815
123,-117.97580438735042
124,-88.45539852027039
125,-116.74933632208732
126,-103.89395942919607
127,-89.79635393187327
128,-103.24065769862133
129,-87.80611523144698
130,-127.94871657339397
131,-106.00880306663643
132,-142.5198852778894
133,-123.22083260916861
134,-118.9337828764312
135,-122.00618277020901
136,-121.28671380786928
137,-126.51910070338059
138,-103.205512994798
139,-78.09890173611099
140,-154.692610350612
141,-124.68923025419966
142,-143.2479536348842
143,-113.80752184903943
144,-125.48021972902282
145,-132.15755065589866
146,-99.59882407295912
147,-124.14530325300538
148,-99.70690633516267
149,-129.7214933266134
150,-99.15527568255796
151,-89.63961256515819
152,-122.57186430652891
153,-132.69206583640207
154,-140.35142774691053
155,-106.74534099485955
156,-116.1252777521725
157,-106.14990164324186
158,-90.32061185300962
159,-119.23343250437024
160,-87.33535109827609
161,-96.9337905680537
162,-99.49679410150655
163,-94.88023007096919
164,-156.26138108392803
165,-87.95226666073
166,-107.33772503459548
167,-111.90888698897963
168,-138.21518687516107
169,-94.64117692226782
170,-125.44509901453162
171,-100.29032608893144
172,-104.00127539233407
173,-100.64795986373557
174,-150.200777803932
175,-113.072340310525
176,-129.69707706882667
177,-132.48290784863207
178,-129.7756285377702
179,-77.2308946549504
180,-134.292341214572
181,-114.53478535060131
182,-87.35747700491869
183,-95.0512197390413
184,-94.64622091059624
185,-110.76800733727241
186,-133.06455526736423
187,-120.14208836396327
188,-112.90279662239736
189,-110.33367530977841
190,-94.47699723292294
191,-80.62667870709808
192,-100.91467020666246
193,-136.2853821131086
194,-93.568951176512
195,-84.66508050058742
196,-84.06143939269184
197,-107.00095787988334
198,-85.1287468345721
199,-96.39334034108813
200,-98.16636975097978
201,-119.97376592794724
202,-127.44947146468655
203,-84.09358960438058
204,-69.80147689683706
205,-108.35593377381088
206,-113.37376013278022
207,-120.59717334084303
208,-85.70346980597354
209,-92.05865685920404
210,-102.06704911894374
211,-123.0526921781616
212,-104.33139714099056
213,-110.80879862427659
214,-111.73492101679585
215,-107.01196579148214
216,-94.97953548948408
217,-105.10766859166623
218,-122.5802745151886
219,-87.56896298359683
220,-110.28331859015591
221,-106.84245505464244
222,-107.94600141670598
223,-95.92783961844903
224,-95.13071493844792
225,-89.32855232399375
226,-119.1313888891631
227,-99.43387275555374
228,-114.02488462518502
229,-114.72906231888257
230,-106.62160397962018
231,-99.1841870790729
232,-114.76895248590226
233,-83.67233792317336
234,-92.52031414965349
235,-94.88150695938886
236,-72.30515570442529
237,-106.48284849990765
238,-123.09549467620316
239,-89.83839321864609
240,-94.96180015420981
241,-117.22364040310654
242,-74.1528455508358
243,-107.96222046582857
244,-91.34481645955191
245,-71.78887199945841
246,-110.7733174629449
247,-116.63117595057447
248,-105.31146455751646
249,-104.17297280062265
250,-129.1865802843688
251,-96.07112032425809
252,-76.94220931984415
253,-94.07052087663814
254,-105.00496829466886
